# separator:Comma
# deck:日本語 Grammar
# notetype:日本語 Grammar
# tags column:27
# columns:id,title,title_phonetic,meaning,how_to_use,jlpt_level,date_added,row_num,example_1_text,example_1_text_phonetic,example_1_meaning,example_2_text,example_2_text_phonetic,example_2_meaning,example_3_text,example_3_text_phonetic,example_3_meaning,example_4_text,example_4_text_phonetic,example_4_meaning,example_5_text,example_5_text_phonetic,example_5_meaning,example_6_text,example_6_text_phonetic,example_6_meaning,tags
6f62a4af-3e50-4b44-8981-4e2602332319,ＴにＡ,,A on/at (absolute) time,<li>absolute time + に + A</li>,,2023-05-01,1,日[にち] 曜[よう] 日[び]に 行[い]きます。,,I will go on Sunday.,十[じゅう] 時[じ] 四[よん] 十[じゅう] 五[ご] 分[ふん]に 起[お]きます。,,I get up at 10:45.,九[く] 月[がつ]に 帰[かえ]ります。,,I will go back in September.,,,,,,,,,,genki3-l03
8f2595db-b6ab-4ccf-b09e-93dce63e6213,ＴＡ,,relative time for A,<li>relative time + A</li>,,2023-05-01,2,明[あ] 日[した] 来[き]ます。,,I will come tomorrow.,毎[まい] 晩[ばん]テレビを 見[み]ます。,,I watch TV every evening.,いつ 行[い]きますか。,,When will you go?,,,,,,,,,,genki3-l03
0000d0db-623b-457d-b797-5c7bfd8d0000,〜ませんか,,to extend an invitation,<li>verb + ませんか</li>,,2023-03-09,3,昼[ひる]ご 飯[はん]を 食[た]べませんか。,,What do you say to having lunch with me?,テニスをませんか。,,Will you play tennis with me?,,,,,,,,,,,,,genki3-l03
dd34d089-fe5a-4958-83d1-0baaa30f609f,よく／たいてい/時々……ます<br/>あまり／全然……ません,,Frequency Adverbs,<li>いつも + verb (present) ⟶ always</li><li>よく + verb (present) ⟶ often</li><li>たいてい + verb (present) ⟶ usually</li><li>時々 + verb (present) ⟶ sometimes</li><li>あまり + verb (negative) ⟶ not much</li><li>ほとんど + verb (negative) ⟶ seldom/hardly</li><li>全然 + verb (negative) ⟶ never</li><li>毎日 + verb + (present) ⟶ every day</li>,,2023-08-06,4,ゆみさんはよく 私[わたし]のうちに 来[き]ます。,,Yumi often comes to my house.,山[やま] 下[した] 先[せん] 生[せい]はたいてい 十[じゅう] 一[いち] 時[じ]に 寝[ね]ます,,Professor Yamashita usually goes to sleep at 11.,たけしさんは 時[とき] 々[どき]あのカフェでコーヒーを 飲[の]みます。,,Takeshi sometimes drinks coffee at that cafe.,たけしさんはあまり 勉[べん] 強[きょう]しません。,,Takeshi does not study much.,私[わたし]は 全[ぜん] 然[ぜん]テレビを 見[み]ません。,,I don't watch TV at all.,,,,genki3-l03
3a5e1272-f03e-4ac4-89be-ad06b7a3331d,Ａがあります,,I have/own A (inanimate),<li>thing + が + あります</li>,,2023-03-09,5,テレビがありません。,,I don't have a TV.,時[じ] 間[かん]がありますか。,,Do you have time?,,,,,,,,,,,,,genki3-l04
b69d0d83-ae0e-4834-abaf-9c570c976d00,Ａがいます,,I have/own A (animate),<li>thing + が + います</li>,,2023-03-09,6,日[に] 本[ほん] 人[じん]の 友[とも] 達[だち]がいます。,,I have a Japanese friend.,,,,,,,,,,,,,,,,genki3-l04
5120aeab-2b79-4837-9461-1bc174684feb,ＡにＢがあります,,There is/are B at A (inanimate),<li>place + に + thing + が + あります</li>,,2023-03-09,7,あぞこにマクドナルドがあります。,,There's a McDonald's Over There.,明[あ] 日[した]は 日[に] 本[ほん] 語[ご]のクラスがありません。,,There will be no Japanese class tomorrow,,,,,,,,,,,,,genki3-l04
17184226-f266-4972-b24a-3f34ee7ebb6b,ＡにＢがいます,,There is/are B at A (animate),<li>place + に + thing + が + います</li>,,2023-03-09,8,あそこに 留[りゅう] 学[がく] 生[せい]がいます。,,There's an international student over there.,,,,,,,,,,,,,,,,genki3-l04
0f175278-c567-4806-bad4-4cd040c40ad9,ＡはＢのＬです,,A is {location word} of/to B,<li>noun + は + noun + の + 右 + です</li><li>noun + は + noun + の + 左 + です</li><li>noun + は + noun + の + 前 + です</li><li>noun + は + noun + の + 後ろ + です</li><li>noun + は + noun + の + 中 + です</li><li>noun + は + noun + の + 上 + です</li><li>noun + は + noun + の + 下 + です</li><li>noun + は + noun + の + 違く + です</li><li>noun + は + noun + の + 隣 + です</li>,,2023-03-09,9,銀[ぎん] 行[こう]は 図[と] 書[しょ] 館[かん]の 隣[となり]です。,,The bank is next to the library.,私[わたし]はモスバーガーの 前[まえ]でメアリーさんを 待[ま]ちました。,,I waited for Mary in front of the Mos Burger place.,傘[かさ]はテーブルの 下[した]です。,,The umbrella is under the table.,,,,,,,,,,genki3-l03
11f50022-8091-40d0-831a-de86193f2f8d,ＡはＢとＣの間です,,A is between B and C,<li>noun + は + noun + と + noun + の + 間です</li>,,2023-03-09,10,レストランはスーパーと 病[びょう] 院[いん]の 間[あいだ]です,,The restaurant is between the supermarket and the hospital.,,,,,,,,,,,,,,,,genki3-l03
055948b9-aefa-4444-92b3-b06191f075c8,も,,to do too,<li>A + は + B ⟶ A + も + B</li><li>A + が + B ⟶ A + も + B</li><li>A + を + B ⟶ A + も + B</li><li>A + に + B ⟶ A + にも + B</li><li>A + で + B ⟶ A + でも + B</li>,,2023-05-01,11,私[わたし]は 昨日[きのう] 京[きょう] 都[と]に 行[い]きました。 山[やま] 下[した] 先[せん] 生[せい]も 昨日[きのう] 京[きょう] 都[と]に 行[い]きました。,,"I went to Kyoto yesterday. Professor Yamashita went to Kyoto yesterday, too.",メアリーさんは 靴[くつ]を 買[か]いました。メアリーさんはかばんも 買[か]いました。,,"Mary bought shoes. Mary bought a bag, too.",私[わたし]は 先[せん] 週[しゅう] 京[きょう] 都[と]に 行[い]きました。 大[おお] 阪[さか]にも 行[い]きました。,,I went to Kyoto last week. I went to Osaka too.,けんさんはうちで 本[ほん]を 読[よ]みました。カフェでも 本[ほん]を 読[よ]みました。,,"Ken read a book at home. He read a book at a cafe, too.",,,,,,,genki3-l03
5fe8f0bb-9572-4a81-88a6-7a83d554b85d,〜時間,,duration of time: hours,<li>number + 時間</li><li>number + 時間 + ぐらい</li><li>number + 時間 + 半</li>,,2023-03-10,12,メアリーさんはそこでたけしさんを 一[いち] 時[じ] 間[かん] 半[はん] 待[ま]ちました。,,Mary waited for Takeshi there for an hour and a half.,私[わたし]は 昨日[きのう] 日[に] 本[ほん] 語[ご]を 三[さん] 時[じ] 間[かん]ぐらい 勉[べん] 強[きょう]しました。,,I studied Japanese for about three hours yesterday.,,,,,,,,,,,,,genki3-l04
a4766a9c-8bc7-446b-b0df-c3e2865612df,ＡとＢ<br/>ＡはＢと,,A and B<br/>person A together with person B,<li>noun + と + noun</li><li>person + は + person + と</li>,,2023-03-09,13,京[きょう] 都[と]と 大[おお] 阪[さか]に 行[い]きました。,,I went to Kyoto and Osaka.,メアリーさんはそらさんと 韓[かん] 国[こく]に 行[い]きます。,,Mary will go to Korea with Sora,,,,,,,,,,,,,genki3-l04
ab1cd527-1492-4657-8d6e-0905ca0154ca,ＡＮ<br/>ＡなＮ,,Adjective Noun Modification,<li>い-adj + noun</li><li>な-adj + な + noun</li>,,2023-03-23,14,昨日[きのう]、 面[おも] 白[しろ]い 映[えい] 画[が]を 見[み]ました。,,I saw an interesting movie yesterday.,京[きょう] 都[と]できれいな 写[しゃ] 真[しん]を 撮[と]りました。,,I took a beautiful picture in Kyoto.,ここはとても 賑[にぎ]やかな 町[まち]です。,,This is a very vibrant city.,,,,,,,,,,genki3-l05
d9bdda30-d7bd-470e-a2c5-ac0d08c56fb6,〜ましょう,,Let's...,<li>verb-stem + ましょう</li>,,2023-03-23,15,一[いっ] 緒[しょ]に 図[と] 書[しょ] 館[かん]で 勉[べん] 強[きょう]しましょう,,Let's study in the library together.,一[いっ] 緒[しょ]に 食[た]べに 行[い]きましょう,,Let's go eat together.,,,,,,,,,,,,,genki3-l05
30a31f32-839f-4610-baf8-788a7f390fd2,〜ましょうか,,shall I... / let me do ...,<li>verb-stem + ましょうか</li>,,2023-03-23,16,あそこでコーヒーを 飲[の]みましょうか。,,Shall we drink coffee over there?,写[しゃ] 真[しん]を 撮[と]りましょうか。,,Shall I take a picture for you?,荷[に] 物[もつ]を 持[も]ちましょうか。,,Shall I carry your bag?,,,,,,,,,,genki3-l05 genki3-l06 jlpt-sensei-grammar-n5
6d942fcf-dc23-4adb-aa88-6bc8ab197ff3,〜てください,,please do ... for me,<li>verb (て form) + ください</li>,,2023-04-09,17,教[きょう] 科[か] 書[しょ]を 読[よ]んでください。,,Please read the textbook.,すみません。ちょうと 教[おし]えてください。,,Excuse me. Please teach me a a little.,,,,,,,,,,,,,genki3-l06
1b6c21c5-298b-47b1-bce9-295970b3ca3f,①　Ａて、Ｂ。,,to do A and do B.,<li>verb (て form) + verb</li><li>verb (て form) + 、+ verb</li>,,2023-04-09,18,図[と] 書[しょ] 館[かん]に 行[い]って、 本[ほん]を 借[か]ります。,,I will go to the library and check out some books.,今日[きょう]は、 六[ろく] 時[じ]に 起[お]きて、 勉[べん] 強[きょう]しました。,,Today I got up at six and studied.,食[しょく] 堂[どう]に 行[い]って、 昼[ひる]ご 飯[はん]を 食[た]べましよう。,,Let's go to the cafeteria and have lunch.,,,,,,,,,,genki3-l06
79fb54a3-79c7-4691-9d3d-f0ea459c3b9a,〜てもいいです,,you may do ...,<li>verb (て form) + もいいです</li>,,2023-04-09,19,教[きょう] 科[か] 書[しょ]を 見[み]てもいいですよ。,,You may use the textbook.,トイレに 行[い]ってもいいですか。はい、いいですよ。／どうぞ。,,May I go to the bathroom? You may./Please.,,,,,,,,,,,,,genki3-l06
45d46c59-d86c-4a19-9e53-3cebf4dbae83,〜てはいけません,,you must not do ...,<li>verb (て form) + はいけません</li><li>verb (て form) + はいけない</li>,,2023-04-09,20,ここで 写[しゃ] 真[しん]を 撮[と]って は[wa]いけません。,,You must not take pictures here.,窓[まど]を 開[あ]けて は[wa]いけない。,,Do not open up the window.,,,,,,,,,,,,,genki3-l06 jlpt-sensei-grammar-n5
c5381ae9-d2a9-43fb-836a-53d02a300edf,Ｓ。Ｅから。,,S; because E.,<li>(situation)。 (explanation)から。</li>,,2023-04-09,21,私[わたし]は 今[こん] 晩[ばん] 勉[べん] 強[きょう]します。 明[あ] 日[した]テストがありますから。,,I will study this evening. (Because) we will have an exam tomorrow.,バスに 乗[の]りましょう。タクシーは 高[たか]いですから。,,Let's go by bus. (Because) taxis are expensive.,,,,,,,,,,,,,genki3-l06
23587f59-8d3d-446d-b3b2-5c644e7d9614,①　〜ている,,action in progress; action is occupation or habit,<li>activity verb (て form) + いる</li><li>activity verb (て form) + います</li>,5,2023-05-30,22,ソラさんは 今[いま] 勉[べん] 強[きょう]しています。,,Sora is studying right now.,昨日[きのう] 二[に] 時[じ]にたけしさんは 友[とも] 達[だち]とテニスをしていました。,,"At two o'clock yesterday, Takeshi was playing tennis with a friend.",メアリーさんは 毎[まい] 日[にち] 日[に] 本[ほん] 語[ご]を 勉[べん] 強[きょう]しています。,,Mary studies Japanese every day.,今[いま]、 何[なに]をしていますか。,,What are you doing right now?,たけしさんは 英[えい] 語[ご]の 本[ほん]を 読[よ]んでいます。,,Takeshi is reading a book in English.,,,,genki3-l07 genki3-workbook-l07
840bbf13-201d-4e79-9c8d-7c0144a0372c,②　〜ている,,result of a change,<li>change verb (て form) + いる</li><li>change verb (て form) + います</li>,5,2023-05-30,23,山[やま] 下[した] 先[せん] 生[せい]は 結[けっ] 婚[こん]しています。,,Professor Yamashita is married.,ゆいさんは 窓[まど]の 近[ちか]くに 座[すわ]っています。,,Yui is seated near the window.,お 父[とう]さんは 起[お]きています。,,Dad is up and awake,山[やま] 下[した] 先[せん] 生[せい]は 母[はは]を 知[し]っています。,,Professor Yamashita knows my mother,,,,,,,genki3-l07
838d78b7-d3ba-4567-ad9c-441dd15e35c6,③　〜ている,,result of change in movement (= prior movement),<li>行っています</li><li>来ています</li>,,2023-05-30,24,中[ちゅう] 国[ごく]に 行[い]っています,,Somebody has gone to or is in China.,うちに 来[き]ています。,,Somebody has come over to visit.,,,,,,,,,,,,,genki3-l07
31dc76a7-6fca-475f-9d94-fd4a49fab79d,ＡはＢが、ＣはＤ。,,AB but/however CD.,<li>sentence + が + 、 + sentence</li>,4,2023-05-30,25,のりおさんは 痩[や]せていますが、やすおさんは 太[ふと]っています。,,"Norio is thin, but Yasuo is overweight.",ひらがなは 書[か]けますが、 漢[かん] 字[じ]は 書[か]きません。,,"I can write hiragana, but I cannot write kanji.",,,,,,,,,,,,,genki3-l07 genki3-workbook-l07 jlpt-sensei-grammar-n4
4d0f3a6d-f332-4c39-9fea-3cf9822c296a,ＰさんはＢがＣです,,P has a body part B that is C,<li>person + は + body part + が + adjective + です</li>,,2023-05-30,26,トムさんは 髪[かみ]が 長[なが]いです。,,Tom's hair is long.,この 人[ひと]は 背[せ]が 高[たか]いです。,,This person is tall.,,,,,,,,,,,,,genki3-l07
defcf9ca-1159-4811-a152-4489640b710f,② Ａて、Ｂ。,,sentence A and sentence B (with overall tense of B),<li>sentence + て + sentence</li><li>sentence + て + 、+ sentence</li>,,2023-05-30,27,あの 店[みせ]の 食[た]べ 物[もの]は 安[やす]くて、おいしいです。,,The food at that restaurant is inexpensive and delicious.,ホテルはきれいで、よかったです。,,The hotel was clean and we were happy.,山[やま] 下[した] 先[せん] 生[せい]は 日[に] 本[ほん] 人[じん]で、 五[ご] 十[じゅう] 歳[さい]ぐらいです。,,Professor Yamashita is Japanese and he is about fifty years old.,Ａ：どんな 所[ところ]でしたか。<br/>Ｂ： 人[ひと]がたくさんいて、 賑[にぎ]やかでした。,,A: What kind of place was it?<br/>B: There were a lot of people and it was lively.,,,,,,,genki3-l07 genki3-l11
c3ca0776-93d9-4298-9289-1fbc675b359f,〜に行く,,purpose of movement,<li>destination + に/へ + purpose-of-movement (verb stem) + に + 行く</li><li>destination + に/へ + purpose-of-movement (verb stem) + に + 来る</li><li>destination + に/へ + purpose-of-movement (verb stem) + に + 帰る</li>,,2023-05-30,28,デパートにかばんを 買[か]いに 行[い]きました。,,I went to a department store to buy a bag.,メアリーさんは 日[に] 本[ほん]に 日[に] 本[ほん] 語[ご]を 勉[べん] 強[きょう]しに 来[き]ました,,Mary has come to Japan to study Japanese.,,,,,,,,,,,,,genki3-l07
97cd7cfb-3948-4b12-ad53-fad6639fe496,ＰがＮ人います,,There are N people,<li>person + が + numeric + 人 + います</li>,,2023-05-30,29,私[わたし]のクラスにはインドネシア 人[じん]の 学[がく] 生[せい]が 一人[ひとり]います。,,There is one Indonesian student in our class.,,,,,,,,,,,,,,,,genki3-l07
